position,link,company,location,status,salary,company_cleaned,min_salary,max_salary,city,state,City_x,Salary 10th Percentile (for the city),Salary 25th Percentile (for the city),Salary 50th Percentile (for the city),Salary 75th Percentile (for the city),Salary 90th Percentile (for the city),City_y,Price To Income Ratio,H1B
Data Scientist,https://www.indeed.com/rc/clk?jk=85a99eb5fdec9176&fccid=578fa8376f4eec04&vjs=3,ManTech International Corporation,"Chantilly, VA","Posted
Posted 2 days ago",92.7K - 117K,mantech international corporation,92700.0,117000.0,chantilly,VA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Data Scientist, Analytics",https://www.indeed.com/rc/clk?jk=683560ae426759c0&fccid=e21f6affbb4bb0b2&vjs=3,Twitch,"Remote in Seattle, WA","Posted
Posted 2 days ago",123K - 156K,twitch,123000.0,156000.0,remote in seattle,WA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Computational Physicist/Data Scientist,https://www.indeed.com/rc/clk?jk=f38d968fccdaa745&fccid=2f0040aca661ed55&vjs=3,Physical Sciences Inc.,"Boston, MA","Posted
Posted 2 days ago",84.8K - 107K,physical sciences inc,84800.0,107000.0,boston,MA,boston,68535.0,76581.0,85419.0,92836.0,99590.0,boston,8.4,No
Data Scientist,https://www.indeed.com/rc/clk?jk=b5a3e5488c4403d9&fccid=dd616958bd9ddc12&vjs=3,US Cybersecurity and Infrastructure Security...,"Arlington, VA","Posted
Posted 2 days ago",112015 - 172075,us cybersecurity and infrastructure security,112015.0,172075.0,arlington,VA,arlington,65141.0,72788.66666666667,81188.66666666667,88238.66666666667,94657.66666666667,arlington,5.9,No
Data Scientist,https://www.indeed.com/rc/clk?jk=97026c1c0eeb6291&fccid=6629d4eaa41da2b5&vjs=3,US Customs and Border Protection,"Washington, DC","Posted
Posted 2 days ago",53105 - 84441,us customs and border protection,53105.0,84441.0,washington,DC,washington,67714.0,75664.0,84395.0,91724.0,98396.0,washington,7.1,No
Data Scientist - Trust and Safety - San Jose,https://www.indeed.com/rc/clk?jk=d0311b0603d6a30b&fccid=caed318a9335aac0&vjs=3,TikTok,"San Jose, CA","Posted
Posted 2 days ago",176355 - 329333,tiktok,176355.0,329333.0,san jose,CA,san jose,76339.0,85302.0,95146.0,103408.0,110930.0,san jose,10.2,Yes
"Data Scientist, Defense - Logistics and Readiness Modeling",https://www.indeed.com/rc/clk?jk=2035d3437550e9bf&fccid=4e69f24625edd7db&vjs=3,Institute for Defense Analyses,"Alexandria, VA 22311 
(Alexandria West area)","Posted
Posted 2 days ago",108K - 137K,institute for defense analyses,108000.0,137000.0,alexandria,VA,alexandria,60804.0,67942.5,75783.0,82363.5,88355.0,alexandria,4.2,No
"Data Scientist, FinOps - Apptio",https://www.indeed.com/rc/clk?jk=4e1186e879cdbd81&fccid=de71a49b535e21cb&vjs=3,IBM,"Seattle, WA 98101 
(Downtown area)","Posted
Posted 2 days ago",147000 - 273000,ibm,147000.0,273000.0,seattle,WA,seattle,67118.0,74998.0,83652.0,90917.0,97530.0,seattle,5.9,Yes
Data Specialist,https://www.indeed.com/rc/clk?jk=1a8d69c5ac473ce8&fccid=7eef65abf940ce5e&vjs=3,Juristat,Remote,"Posted
Posted 2 days ago",30000 - 35000,juristat,30000.0,35000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,No
Senior Data Scientist - Growth & Lifecycle,https://www.indeed.com/rc/clk?jk=44ec87b835c6839e&fccid=f3a36f726f745c17&vjs=3,Faire,Remote,"Posted
Posted 2 days ago",156000 - 214500,faire,156000.0,214500.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,No
Data Scientist,https://www.indeed.com/rc/clk?jk=69e82a68ee3f86ab&fccid=4f7c6e7e21e0a09d&vjs=3,"Nationwide IT Services, Inc","Fairfax, VA 22033","Posted
Posted 2 days ago",112K - 141K,nationwide it services inc,112000.0,141000.0,fairfax,VA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,fairfax,3.4,No
Data Scientist,https://www.indeed.com/rc/clk?jk=9006d7be96e5c3bf&fccid=cada5204e0c8690d&vjs=3,UFG Insurance,"Hybrid remote in Cedar Rapids, IA 52401","Posted
Posted 2 days ago",90.9K - 115K,ufg insurance,90900.0,115000.0,hybrid remote in cedar rapids,IA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Research Data Science, Future Leaders Graduate Program, US, 2024",https://www.indeed.com/rc/clk?jk=3332dad5a2af936d&fccid=4e42ec53f4b93e02&vjs=3,GSK,"Collegeville, PA","Posted
Posted 2 days ago",94.3K - 119K,gsk,94300.0,119000.0,collegeville,PA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Machine Learning Engineer Graduate (TikTok Search-Recommendation-NLP) - 2024 Start (BS/MS),https://www.indeed.com/rc/clk?jk=0b6658a019a6378a&fccid=caed318a9335aac0&vjs=3,TikTok,"San Jose, CA","Posted
Posted 2 days ago",112200 - 147000,tiktok,112200.0,147000.0,san jose,CA,san jose,76339.0,85302.0,95146.0,103408.0,110930.0,san jose,10.2,Yes
Senior-Level Data Analyst/Engineer,https://www.indeed.com/company/Nasscomm/jobs/Senior-Data-Analyst-797a8902086cff1c?fccid=d7e2af7844b913ad&vjs=3,Nasscomm,Remote,"Posted
Posted 2 days ago",126K - 159K,nasscomm,126000.0,159000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,No
NSIP Post Bachelors RA - AI & Data Analytics,https://www.indeed.com/rc/clk?jk=dff5f1895358b0ff&fccid=5ac3fadc1f823e63&vjs=3,Pacific Northwest National Laboratory,"Remote in Richland, WA 99354","Posted
Posted 2 days ago",79.5K - 101K,pacific northwest national laboratory,79500.0,101000.0,remote in richland,WA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Senior Data Scientist,https://www.indeed.com/rc/clk?jk=237f78909c38b713&fccid=156c7820d1988640&vjs=3,SAP,"Palo Alto, CA 94304","Posted
Posted 2 days ago",183310 - 192016,sap,183310.0,192016.0,palo alto,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Sr. Data Analyst,https://www.indeed.com/company/Amzur-Technologies/jobs/Senior-Data-Analyst-d85e53102417740d?fccid=5523024e727b1437&vjs=3,Amzur Technologies,"Salem, OR","Posted
Posted 2 days ago",68 - 70 an hour,amzur technologies,141440.0,145600.0,salem,OR,salem,64499.0,72071.0,80388.33333333333,87369.33333333333,93724.33333333333,salem,3.1,Yes
Data Science Analyst - SS,https://www.indeed.com/rc/clk?jk=3b5cbd8bff20f2a8&fccid=26877094797beef3&vjs=3,Mayo Clinic,"Remote in Rochester, MN 55901","Posted
Posted 2 days ago",95493 - 133682,mayo clinic,95493.0,133682.0,remote in rochester,MN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist (Advanced Technology),https://www.indeed.com/rc/clk?jk=065d32d62b14a0cd&fccid=91c4927c2602cbd4&vjs=3,Progress Rail Services Corp.,"Fort Worth, TX 76101 
(Downtown area)","Posted
Posted 2 days ago",83.3K - 105K,progress rail services corp,83300.0,105000.0,fort worth,TX,fort worth,59272.0,66230.0,73873.0,80288.0,86129.0,fort worth,2.5,No
"Machine Learning Engineer, TikTok E-Commerce Knowledge Graph - USDS",https://www.indeed.com/rc/clk?jk=7419e14c15553c89&fccid=caed318a9335aac0&vjs=3,TikTok,"Hybrid remote in Seattle, WA","Posted
Posted 2 days ago",129960 - 246640,tiktok,129960.0,246640.0,hybrid remote in seattle,WA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Sr. Data Engineer,https://www.indeed.com/rc/clk?jk=1616fd4777c3b36f&fccid=1e9dc60a2424f016&vjs=3,Stanford Health Care,"Palo Alto, CA 94303","Posted
Posted 2 days ago",79.15 - 104.87 an hour,stanford health care,164632.0,218129.6,palo alto,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Manager - Data Science,https://www.indeed.com/rc/clk?jk=00276029a1b7507f&fccid=f057e04c37cca134&vjs=3,Amex,"Phoenix, AZ","Posted
Posted 2 days ago",90000 - 165000,amex,90000.0,165000.0,phoenix,AZ,phoenix,60089.0,67144.0,74892.0,81396.0,87316.0,phoenix,3.7,Yes
Machine Learning Infra Engineer,https://www.indeed.com/rc/clk?jk=0b75a93051304154&fccid=74a4b2141032dade&vjs=3,Cyberjin,Remote,"Posted
Posted 2 days ago",112K - 142K,cyberjin,112000.0,142000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Principal Healthcare Software LLM Data Scientist,https://www.indeed.com/company/ELI/jobs/Principal-Scientist-610bffbdb730aac7?fccid=a177cce70b1996a0&vjs=3,"ELI , LLC",Remote,"Posted
Posted 2 days ago",156K - 197K,eli  llc,156000.0,197000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,No
Sr. Data Scientist,https://www.indeed.com/rc/clk?jk=98677fc1b75cd47d&fccid=02886847f39fdad4&vjs=3,Walt Disney Television,"Burbank, CA","Posted
Posted 2 days ago",136038 - 182490,walt disney television,136038.0,182490.0,burbank,CA,burbank,68292.0,76309.0,85116.0,92507.0,99236.0,Not Applicable,Not Applicable,No
Data Scientist/Salesforce Administrator,https://www.indeed.com/company/L.E.A.D.-INC/jobs/Salesforce-Administrator-3ece3298e18ad175?fccid=fd81497fb5b2f606&vjs=3,L.E.A.D Inc.- Law Enforcement Against Drugs,"Hybrid remote in Allentown, NJ 08501","Posted
Posted 2 days ago",80000 - 100000,lead inc law enforcement against drugs,80000.0,100000.0,hybrid remote in allentown,NJ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Director Data Science (Remote),https://www.indeed.com/rc/clk?jk=ea7a4e145ede10cb&fccid=401b88eb612fbde1&vjs=3,Vericast,"Remote in Austin, TX","Posted
Posted 2 days ago",190000 - 220000,vericast,190000.0,220000.0,remote in austin,TX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Senior Data Analyst,https://www.indeed.com/rc/clk?jk=fcb684fbb166b021&fccid=6b444107c149db6d&vjs=3,HarperCollins Publishers,Remote in United States,"Posted
Posted 2 days ago",115000 - 130000,harpercollins publishers,115000.0,130000.0,remote in united states,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
AI Analyst,https://www.indeed.com/company/Park-Computer-Systems/jobs/Ai-Analyst-eb6c14649275cfe3?fccid=1c03d3e3a9506d7e&vjs=3,Park Computer Systems,"Culver City, CA 90232","Posted
Posted 2 days ago",24.59 - 59.86 an hour,park computer systems,51147.2,124508.8,culver city,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Research Data Science, Future Leaders Graduate Program, US, 2024",https://www.indeed.com/rc/clk?jk=12defbf7eb25adda&fccid=4e42ec53f4b93e02&vjs=3,GSK,"King of Prussia, PA 19406","Posted
Posted 2 days ago",94.3K - 119K,gsk,94300.0,119000.0,king of prussia,PA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Cyber Data Scientist,"https://www.indeed.com/company/PL-Consulting,-Inc./jobs/Data-Scientist-2410d977ac461e1a?fccid=4959f55e0c6ff1cb&vjs=3","PL Consulting, Inc.","Chantilly, VA 20151","Posted
Posted 2 days ago",180000 - 195000,pl consulting inc,180000.0,195000.0,chantilly,VA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Manager - Data Science (AI Solutions),https://www.indeed.com/rc/clk?jk=9398ff815ccd7b98&fccid=9de52fa9ca5b17cd&vjs=3,Merkle,Remote,"Posted
Posted 2 days ago",94000 - 152375,merkle,94000.0,152375.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
"Data Engineer, Product Analytics",https://www.indeed.com/rc/clk?jk=83310eab80f9cdba&fccid=ba07516c418dda52&vjs=3,Meta,"Austin, TX","Posted
Posted 2 days ago",109000 - 166000,meta,109000.0,166000.0,austin,TX,austin,59824.0,66848.0,74562.0,81037.0,86932.0,austin,6.8,Yes
Cloud Data Scientist,https://www.indeed.com/rc/clk?jk=cfcde792315e5529&fccid=578fa8376f4eec04&vjs=3,ManTech International Corporation,"Chantilly, VA","Posted
Posted 2 days ago",107K - 135K,mantech international corporation,107000.0,135000.0,chantilly,VA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Machine Learning Engineer Graduate (TikTok Search-Recommendation-NLP) - 2024 Start (PhD),https://www.indeed.com/rc/clk?jk=895a890051eb6e15&fccid=caed318a9335aac0&vjs=3,TikTok,"San Jose, CA","Posted
Posted 2 days ago",136800 - 205000,tiktok,136800.0,205000.0,san jose,CA,san jose,76339.0,85302.0,95146.0,103408.0,110930.0,san jose,10.2,Yes
"Associate Educator, Data Scientist",https://www.indeed.com/rc/clk?jk=9e3e131eb5c5ab42&fccid=163ccc336a959b8b&vjs=3,BrainStation,"New York, NY","Posted
Posted 2 days ago",75000 - 90000,brainstation,75000.0,90000.0,new york,NY,new york,71473.0,79864.0,89081.0,96816.0,103859.0,new york,10.2,No
