position,link,company,location,status,salary,company_cleaned,min_salary,max_salary,city,state,City_x,Salary 10th Percentile (for the city),Salary 25th Percentile (for the city),Salary 50th Percentile (for the city),Salary 75th Percentile (for the city),Salary 90th Percentile (for the city),City_y,Price To Income Ratio,H1B
Data Scientist,https://www.indeed.com/rc/clk?jk=dd60a69f8f6a7bd7&fccid=117fe8201a62d501&vjs=3,Expertise France,Remote,"Posted
Just posted",95.3K - 121K,expertise france,95300.0,121000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,No
Data Analyst,https://www.indeed.com/rc/clk?jk=2adc7a5a2e0c5508&fccid=dd616958bd9ddc12&vjs=3,Court Avenue,"Cincinnati, OH","Posted
Just posted",70000 - 90000,court avenue,70000.0,90000.0,cincinnati,OH,cincinnati,59484.0,66467.0,74138.0,80576.0,86437.0,cincinnati,4.6,No
Data Scientist,https://www.indeed.com/rc/clk?jk=c898520685fe7382&fccid=77426fa86bb11d7c&vjs=3,Abbott Laboratories,"Alameda, CA","Posted
Today",82100 - 164100,abbott laboratories,82100.0,164100.0,alameda,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Machine Learning Infra Engineer,https://www.indeed.com/rc/clk?jk=940d20ee4c5e7c69&fccid=74a4b2141032dade&vjs=3,Cyberjin,Remote,"Posted
Today",112K - 142K,cyberjin,112000.0,142000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
"Research Engineer, Language - Generative AI",https://www.indeed.com/rc/clk?jk=6d3bb01d76d8cacd&fccid=ba07516c418dda52&vjs=3,Meta,"New York, NY","Posted
Today",143000 - 204000,meta,143000.0,204000.0,new york,NY,new york,71473.0,79864.0,89081.0,96816.0,103859.0,new york,10.2,Yes
Deep Learning Engineer,https://www.indeed.com/rc/clk?jk=75abc39455d5248f&fccid=74a4b2141032dade&vjs=3,Cyberjin,Remote,"Posted
Today",121K - 153K,cyberjin,121000.0,153000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
"Research Engineer, Language - Generative AI",https://www.indeed.com/rc/clk?jk=ef115402ab9da839&fccid=ba07516c418dda52&vjs=3,Meta,"San Francisco, CA 94105 
(Financial District/South Beach area)","Posted
Today",143000 - 204000,meta,143000.0,204000.0,san francisco,CA,san francisco,76035.0,84962.0,94767.0,102996.0,110488.0,san francisco,7.8,Yes
"Core Tech TPM, Data and ML",https://www.indeed.com/rc/clk?jk=bcfc8e90e336ee68&fccid=ba07516c418dda52&vjs=3,Meta,"Burlingame, CA 94010","Posted
Today",132000 - 196000,meta,132000.0,196000.0,burlingame,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Senior Data Analyst,https://www.indeed.com/rc/clk?jk=cc281a5846c5ed14&fccid=0abc6a7f3eeb0e57&vjs=3,GoldenWolf,Hybrid remote in Virginia,"Posted
Today",84.5K - 107K,goldenwolf,84500.0,107000.0,hybrid remote in virginia,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Machine Learning Lead Engineer - Startup Founder,https://www.indeed.com/company/Founding-Teams/jobs/Machine-Learning-Engineer-281d1573bc721c10?fccid=8e5d2b0704ea9f81&vjs=3,Founding Teams,Remote,"Posted
Today",105K - 133K,founding teams,105000.0,133000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,No
Deep Learning Engineer,https://www.indeed.com/rc/clk?jk=391791f901364af4&fccid=74a4b2141032dade&vjs=3,Cyberjin,"Hybrid remote in Washington, DC","Posted
Today",122K - 155K,cyberjin,122000.0,155000.0,hybrid remote in washington,DC,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Research Engineer, Language - Generative AI",https://www.indeed.com/rc/clk?jk=6cc126a70d061559&fccid=ba07516c418dda52&vjs=3,Meta,"Menlo Park, CA 94025","Posted
Today",143000 - 204000,meta,143000.0,204000.0,menlo park,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
WEB APPLICATIONS DEV LEAD - AI SOFTWARE ENGINEER SR- INFORMATION TECHNOLOGY,https://www.indeed.com/rc/clk?jk=0c34e8f6ddc74cee&fccid=8ae3775d2761f8ea&vjs=3,Hoag Memorial Hospital Presbyterian,"Newport Beach, CA 92663","Posted
Today",55.75 - 85.74 an hour,hoag memorial hospital presbyterian,115960.0,178339.19999999998,newport beach,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Data Scientist / Senior Data Scientist,https://www.indeed.com/rc/clk?jk=f44708b24b855ea8&fccid=d8d5956326aafea1&vjs=3,Sonasoft Corp.,"Menlo Park, CA","Posted
Today",160000 - 225000,sonasoft corp,160000.0,225000.0,menlo park,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Senior Data Scientist,https://www.indeed.com/rc/clk?jk=a6dbb6d1ed85dbbe&fccid=0e8f04b45c1591f5&vjs=3,PG&E Corporation,"Hybrid remote in Oakland, CA 94612","Posted
Today",148K - 187K,pge corporation,148000.0,187000.0,hybrid remote in oakland,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=d5e09ae15036c29b&fccid=1ea0475711674f3b&vjs=3,"Fiserv, Inc.","Lincoln, NE 68512","Posted
Today",94.2K - 119K,fiserv inc,94200.0,119000.0,lincoln,NE,lincoln,57001.0,63694.0,71044.0,77213.0,82830.0,Not Applicable,Not Applicable,Yes
Ecological Modeler/Biodiversity Data Scientist (Remote),https://www.indeed.com/rc/clk?jk=3b920cd3a491f793&fccid=95e47f9839872424&vjs=3,NatureServe,"Remote in Arlington, VA","Posted
Today",80000 - 85000,natureserve,80000.0,85000.0,remote in arlington,VA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Grace Hopper 2023: Data Scientist,https://www.indeed.com/rc/clk?jk=f1d5e0ec25ee5b13&fccid=b6add0e6a71f1008&vjs=3,Chewy,"Plantation, FL","Posted
Today",107K - 136K,chewy,107000.0,136000.0,plantation,FL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist III,https://www.indeed.com/rc/clk?jk=e56cb3c92cf08947&fccid=6ad865467ad14231&vjs=3,SoftDev Incorporated,Remote,"Posted
Today",146000 - 174000,softdev incorporated,146000.0,174000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=782a57653e844277&fccid=4810863341d86f72&vjs=3,"Signature Science, LLC","Austin, TX","Posted
Today",95.2K - 121K,signature science llc,95200.0,121000.0,austin,TX,austin,59824.0,66848.0,74562.0,81037.0,86932.0,austin,6.8,Yes
Senior Data Analyst,https://www.indeed.com/rc/clk?jk=71775dc23cb41deb&fccid=7d7b563c6a3a9653&vjs=3,NYC Careers,"Manhattan, NY","Posted
Today",92301 - 121296,nyc careers,92301.0,121296.0,manhattan,NY,manhattan,55652.0,62185.0,69362.0,75385.0,80868.0,Not Applicable,Not Applicable,No
Senior Data Mesh Solution Architect (NEXUS),https://www.indeed.com/rc/clk?jk=24d06f3acc9ccf41&fccid=a736026b7d693b2c&vjs=3,Atmospheric & Space Technology Research...,"Louisville, CO 80027","Posted
Today",180000 - 240000,atmospheric  space technology research,180000.0,240000.0,louisville,CO,louisville,57744.0,64523.0,71970.0,78219.0,83909.0,louisville,2.8,No
"Associate Director, Statistics",https://www.indeed.com/rc/clk?jk=811e683122ad93e3&fccid=a3b51ece17c02aae&vjs=3,ABBVIE,"San Francisco, CA","Posted
Today",164K - 208K,abbvie,164000.0,208000.0,san francisco,CA,san francisco,76035.0,84962.0,94767.0,102996.0,110488.0,san francisco,7.8,Yes
Data Scientist - I,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A4hgeKHdLyHgzaskNEvl2xXMVaueUT71iJOYpLYISQULG4g2gviYNTmSKtaQzqqiH6Ne1t56_1DfFDjK78tKMs_KTAtI4aC9Swdch9ID58hY40ewGtSoQJ9N3E_Oo3jfU8nVJYPPawE20wfsUeE-xwlcUdeU3tLvlAl8wSVfXCHJ6czL9KgkExCkR9OBM2-oV6wmjgGXFRQecMwjAEgAsXiBp2vC9k3oh_sSIE_knamxBsGB8unQ-1uEtWu-8qsuPq8Yx50Pa1etAZvn12OGxFk4oZPnLLiKAEbwwJgW8sQqqyhS1Wqr1c94mAQXyQhbT1BuXN5bQycjswG1a_9jqVlvk3abft_BtEbGMb_xC_-1jh-1XScnHtQcsD43Qsa4OMkRRoOR7J4PdkH-ktBxgiXptPl4geWlOIEyRmyGR_7likrsgt6kP_JF-1f0MmjcU73bVMiekt6t7kP_c-d_AKqpFCTaTF9NoxQ2m6hL3EV6pR9lzerZYb7XDvmmuDiC0wzOr8d61JX8MnVw9Kn8FM&xkcb=SoCB-_M3KQrjbCS2IJ0BbzkdCdPP&p=10&fvj=1&vjs=3,OrusGroup,"Washington, DC","Posted
Today",90000 - 115000,orusgroup,90000.0,115000.0,washington,DC,washington,67714.0,75664.0,84395.0,91724.0,98396.0,washington,7.1,Yes
DATA SCIENTIST,https://www.indeed.com/rc/clk?jk=87868b33bf49cfcb&fccid=f1fc2a2d7628ede7&vjs=3,US Securities and Exchange Commission,"Chicago, IL 60604 
(The Loop area)","Posted
Today",101034 - 203556,us securities and exchange commission,101034.0,203556.0,chicago,IL,chicago,64168.0,71701.0,79976.0,86920.0,93243.0,chicago,3.7,No
Data Scientist,https://www.indeed.com/rc/clk?jk=e0831b15f0994ce4&fccid=ba07516c418dda52&vjs=3,Meta,"Menlo Park, CA 94025","Posted
Today",197000 - 269000,meta,197000.0,269000.0,menlo park,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Principal Applied Scientist, Artificial Intelligence (USA REMOTE)",https://www.indeed.com/rc/clk?jk=e9da422ecec8df87&fccid=aef928e89977f7f0&vjs=3,Splunk,Remote,"Posted
Today",156000 - 214500,splunk,156000.0,214500.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Data Scientist III,https://www.indeed.com/rc/clk?jk=14e30340741d094f&fccid=c946a8d6abe04208&vjs=3,BTS Software Solutions,"Annapolis Junction, MD 20701","Posted
Today",119K - 151K,bts software solutions,119000.0,151000.0,annapolis junction,MD,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
2024 University Graduate - Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=357fe75088c31042&fccid=f89deb5a97c7738a&vjs=3,Adobe,"San Jose, CA 95110 
(Downtown area)","Posted
Today",97700 - 192000,adobe,97700.0,192000.0,san jose,CA,san jose,76339.0,85302.0,95146.0,103408.0,110930.0,san jose,10.2,Yes
"AI Compiler Engineer, Autonomy",https://www.indeed.com/rc/clk?jk=bc0c75449daab9ce&fccid=86e9be6ce380173e&vjs=3,Tesla,"Palo Alto, CA","Posted
Today",118K - 150K,tesla,118000.0,150000.0,palo alto,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
073257-Senior Data Analyst - Senior Data Scientist,https://www.indeed.com/rc/clk?jk=e8acb560f3a1db3f&fccid=105ecfd0283f415f&vjs=3,Capgemini,Texas,"Posted
Today",104K - 132K,capgemini,104000.0,132000.0,texas,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=3b3a61415c4cc695&fccid=8caf9f020987c129&vjs=3,"ITS Technology and Logistics, LLC",United States,"Posted
Today",101K - 128K,its technology and logistics llc,101000.0,128000.0,united states,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist IV,https://www.indeed.com/rc/clk?jk=c66fef5e2762c4bc&fccid=2c1a2db4e678196f&vjs=3,Technica Corporation,"Remote in Redstone Arsenal, AL 35808","Posted
Today",124K - 157K,technica corporation,124000.0,157000.0,remote in redstone arsenal,AL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
"Principal Applied Scientist, Artificial Intelligence (USA REMOTE)",https://www.indeed.com/rc/clk?jk=fb6e03321d8b05d1&fccid=aef928e89977f7f0&vjs=3,Splunk,Remote in California,"Posted
Today",192000 - 264000,splunk,192000.0,264000.0,remote in california,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Senior Data Analyst,https://www.indeed.com/rc/clk?jk=ae3fbfa9eeaa5581&fccid=266ebded31b11630&vjs=3,VIRIDOS INC,"La Jolla, CA 92037","Posted
Today",115000 - 140000,viridos inc,115000.0,140000.0,la jolla,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Senior Data Analyst,https://www.indeed.com/rc/clk?jk=80e59dc361334f58&fccid=0abc6a7f3eeb0e57&vjs=3,GoldenWolf,Hybrid remote in Texas,"Posted
Today",86.9K - 110K,goldenwolf,86900.0,110000.0,hybrid remote in texas,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Data Center FacEng Retrofits Strategic Integration & Delivery Lead,https://www.indeed.com/rc/clk?jk=f69b75b91bda3d10&fccid=ba07516c418dda52&vjs=3,Meta,"Reston, VA 20190 
(Sunset Hills area)","Posted
Today",143000 - 199000,meta,143000.0,199000.0,reston,VA,reston,67592.0,75528.0,84244.0,91559.0,98219.0,Not Applicable,Not Applicable,Yes
Data Center FacEng Retrofits Strategic Integration & Delivery Lead,https://www.indeed.com/rc/clk?jk=dc3668aef3bcdf9b&fccid=ba07516c418dda52&vjs=3,Meta,"Denver, CO 80202 
(Union Station area)","Posted
Today",143000 - 199000,meta,143000.0,199000.0,denver,CO,denver,61820.0,69077.0,77049.0,83740.0,89831.0,denver,3.9,Yes
Senior Data Analyst/Engineer,https://www.indeed.com/rc/clk?jk=9db0afe11e3a01c3&fccid=58476d2e8b9c7544&vjs=3,ACI Federal Inc,"Remote in Washington, DC 20301","Posted
Today",105K - 133K,aci federal inc,105000.0,133000.0,remote in washington,DC,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Lead Data Science Analyst,https://www.indeed.com/rc/clk?jk=2a74e2acc622eb5d&fccid=4b7bfc146217c50e&vjs=3,The Infosoft Group,"Riverwoods, IL","Posted
Today",94.2K - 119K,the infosoft group,94200.0,119000.0,riverwoods,IL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Data Center Facilities Engineering, Electrical Engineer",https://www.indeed.com/rc/clk?jk=b70772fb5b74092c&fccid=ba07516c418dda52&vjs=3,Meta,"Reston, VA 20190 
(Sunset Hills area)","Posted
Today",129000 - 196000,meta,129000.0,196000.0,reston,VA,reston,67592.0,75528.0,84244.0,91559.0,98219.0,Not Applicable,Not Applicable,Yes
Data Engineer - Python,https://www.indeed.com/rc/clk?jk=09adbbb76713c217&fccid=2df6a1e69a70a1e7&vjs=3,Cognizant Technology Solutions,"New York, NY 10001 
(Chelsea area)","Posted
Today",114000 - 145000,cognizant technology solutions,114000.0,145000.0,new york,NY,new york,71473.0,79864.0,89081.0,96816.0,103859.0,new york,10.2,Yes
Data Center FacEng Retrofits Strategic Integration & Delivery Lead,https://www.indeed.com/rc/clk?jk=1e48fad0e633afde&fccid=ba07516c418dda52&vjs=3,Meta,"Austin, TX","Posted
Today",143000 - 199000,meta,143000.0,199000.0,austin,TX,austin,59824.0,66848.0,74562.0,81037.0,86932.0,austin,6.8,Yes
"Data Center Facilities Engineering, Electrical Engineer",https://www.indeed.com/rc/clk?jk=63cc269ce49e1adc&fccid=ba07516c418dda52&vjs=3,Meta,"Austin, TX","Posted
Today",129000 - 196000,meta,129000.0,196000.0,austin,TX,austin,59824.0,66848.0,74562.0,81037.0,86932.0,austin,6.8,Yes
"Data Center Facilities Engineering, Electrical Engineer",https://www.indeed.com/rc/clk?jk=31e0bad40baa787a&fccid=ba07516c418dda52&vjs=3,Meta,"Denver, CO 80202 
(Union Station area)","Posted
Today",129000 - 196000,meta,129000.0,196000.0,denver,CO,denver,61820.0,69077.0,77049.0,83740.0,89831.0,denver,3.9,Yes
"Sr. Information Security Data Analyst, Active U.S. Secret Security Clearance required, CompTIA Sec+ and CAP certification required",https://www.indeed.com/rc/clk?jk=5c7abea9869fb877&fccid=0b4e02ef3c810ed7&vjs=3,FWDthink LLC,"Rosslyn, VA","Posted
Today",120000 - 130000,fwdthink llc,120000.0,130000.0,rosslyn,VA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Principal Data Science,https://www.indeed.com/rc/clk?jk=16c432087b611c69&fccid=6ce7e0d9f67a9961&vjs=3,Discover Financial Services,"Riverwoods, IL 60015","Posted
Today",123500 - 173100,discover financial services,123500.0,173100.0,riverwoods,IL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Senior Data Analyst - Localization (German),https://www.indeed.com/rc/clk?jk=abf0946033e14fce&fccid=f770da67b3b51c62&vjs=3,Bloomberg,"Princeton, NJ 08543","Posted
Today",80000 - 100000,bloomberg,80000.0,100000.0,princeton,NJ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Director of Business Development for Data & AI Architecture,https://www.indeed.com/rc/clk?jk=816b2eaccca352dd&fccid=d3c6e90e8fb076a1&vjs=3,Na Oiwi Kane,Hybrid remote in Maryland,"Posted
Today",89.5K - 113K,na oiwi kane,89500.0,113000.0,hybrid remote in maryland,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Principal Software Engineer - Elastic Cloud Services,https://www.indeed.com/rc/clk?jk=05e5d81745aec268&fccid=de6a7f640562b0c1&vjs=3,Snowflake,Virginia,"Posted
Today",232000 - 362250,snowflake,232000.0,362250.0,virginia,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Data Scientist, Mid",https://www.indeed.com/rc/clk?jk=3895eaa8d8888970&fccid=4e041af1d0af1bc8&vjs=3,Booz Allen Hamilton,"Remote in Arlington, VA 22202","Posted
Posted 1 day ago",73100 - 166000,booz allen hamilton,73100.0,166000.0,remote in arlington,VA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=925d979eac1d319f&fccid=156c7820d1988640&vjs=3,SAP,"Pittsburgh, PA 15212","Posted
Posted 1 day ago",82170 - 139680,sap,82170.0,139680.0,pittsburgh,PA,pittsburgh,59916.0,66950.0,74676.0,81161.0,87065.0,pittsburgh,8.7,Yes
Jr Data Scientist,https://www.indeed.com/rc/clk?jk=94a147e6321be8ef&fccid=34061052d64ca68d&vjs=3,Infotrend,United States,"Posted
Posted 1 day ago",101K - 128K,infotrend,101000.0,128000.0,united states,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=0235c15fde2a2354&fccid=f6cc40a137a8f120&vjs=3,High Tech High,"Point Loma, CA","Posted
Posted 1 day ago",82572 - 94844,high tech high,82572.0,94844.0,point loma,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Data Scientist,https://www.indeed.com/rc/clk?jk=752411578f5a5d47&fccid=156c7820d1988640&vjs=3,SAP,"Palo Alto, CA 94304","Posted
Posted 1 day ago",130416 - 145980,sap,130416.0,145980.0,palo alto,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=531f00ea60512bc3&fccid=ce8c5c4d60bb4cad&vjs=3,Cambium Learning Group,Remote,"Posted
Posted 1 day ago",90.5K - 115K,cambium learning group,90500.0,115000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Staff Data Scientist,https://www.indeed.com/rc/clk?jk=4d8a067acfb634f9&fccid=9784ae78e9834539&vjs=3,Intuit,"Mountain View, CA 94043","Posted
Posted 1 day ago",130K - 165K,intuit,130000.0,165000.0,mountain view,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Staff Data Scientist,https://www.indeed.com/rc/clk?jk=346b8a8f3138b340&fccid=9784ae78e9834539&vjs=3,Intuit,"San Diego, CA 92129 
(Torrey Highlands area)","Posted
Posted 1 day ago",127K - 161K,intuit,127000.0,161000.0,san diego,CA,san diego,65643.0,73350.0,81815.0,88919.0,95387.0,san diego,9.8,Yes
Genomics Data Scientist (Crop Science - Vegetable R&D),https://www.indeed.com/rc/clk?jk=59157107e3c4230d&fccid=e08122e0e993cc32&vjs=3,Bayer,"Chesterfield, MO 63017","Posted
Posted 1 day ago",103000 - 140000,bayer,103000.0,140000.0,chesterfield,MO,chesterfield,59535.0,66525.0,74202.0,80645.0,86511.0,Not Applicable,Not Applicable,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=331bf6372252ab20&fccid=3582d0ca58ba3e47&vjs=3,Pashtek,"Remote in Arizona City, AZ","Posted
Posted 1 day ago",115K - 146K,pashtek,115000.0,146000.0,remote in arizona city,AZ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=0f5da5bbfa2c7848&fccid=ae2793baa4567258&vjs=3,RB Consulting Inc.,Remote,"Posted
Posted 1 day ago",78000 - 90000,rb consulting inc,78000.0,90000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Principal Data Scientist,https://www.indeed.com/rc/clk?jk=6e1aa1a183934cfc&fccid=9784ae78e9834539&vjs=3,Intuit,"San Diego, CA 92129 
(Torrey Highlands area)","Posted
Posted 1 day ago",160K - 202K,intuit,160000.0,202000.0,san diego,CA,san diego,65643.0,73350.0,81815.0,88919.0,95387.0,san diego,9.8,Yes
"Front End Data Scientist, Senior",https://www.indeed.com/rc/clk?jk=83fe45523f10ed7f&fccid=0e8f04b45c1591f5&vjs=3,PG&E Corporation,"Hybrid remote in San Ramon, CA 94583","Posted
Posted 1 day ago",159K - 201K,pge corporation,159000.0,201000.0,hybrid remote in san ramon,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Senior Data Scientist,https://www.indeed.com/rc/clk?jk=738e51cd030adfd2&fccid=9784ae78e9834539&vjs=3,Intuit,"Mountain View, CA 94043","Posted
Posted 1 day ago",122K - 154K,intuit,122000.0,154000.0,mountain view,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Applied Scientist II,https://www.indeed.com/rc/clk?jk=1db02ba4ee95a2cb&fccid=734cb5a01ee60f80&vjs=3,Microsoft,"Redmond, WA 98052 
(Overlake area)","Posted
Posted 1 day ago",94300 - 182600,microsoft,94300.0,182600.0,redmond,WA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=38552063403365d8&fccid=578fa8376f4eec04&vjs=3,ManTech International Corporation,"Los Angeles, CA","Posted
Posted 1 day ago",77000 - 129200,mantech international corporation,77000.0,129200.0,los angeles,CA,los angeles,68292.0,76309.0,85116.0,92507.0,99236.0,los angeles,6.7,Yes
Principal Data Scientist,https://www.indeed.com/rc/clk?jk=a7685684cd8815ac&fccid=9784ae78e9834539&vjs=3,Intuit,"Mountain View, CA 94043","Posted
Posted 1 day ago",161K - 204K,intuit,161000.0,204000.0,mountain view,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist for Additive Manufacturing,https://www.indeed.com/rc/clk?jk=a5898f949e2062de&fccid=26727f1861532c63&vjs=3,Lawrence Livermore National Laboratory,"Livermore, CA","Posted
Posted 1 day ago",127680 - 163968,lawrence livermore national laboratory,127680.0,163968.0,livermore,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Remote Data Scientist,https://www.indeed.com/rc/clk?jk=190da08ae1c7102f&fccid=ad16e8cf60290dda&vjs=3,"The Martin-Brower Company, LLC","Remote in Rosemont, IL 60018","Posted
Posted 1 day ago",107K - 135K,the martinbrower company llc,107000.0,135000.0,remote in rosemont,IL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist - Richmond Health Network/ACO,https://www.indeed.com/rc/clk?jk=013680df81b32f41&fccid=f9a5fd7b79cec60f&vjs=3,Richmond University Medical Center,"Staten Island, NY 10310 
(New Brighton area)","Posted
Posted 1 day ago",85000 - 110000,richmond university medical center,85000.0,110000.0,staten island,NY,staten island,68249.0,76262.0,85063.0,92449.0,99174.0,Not Applicable,Not Applicable,Yes
Machine Learning Ops Data Engineer/Software Engineer,https://www.indeed.com/rc/clk?jk=b263b09d1af5b238&fccid=dd09fe3b43125016&vjs=3,Dell Technologies,Remote,"Posted
Posted 1 day ago",119K - 151K,dell technologies,119000.0,151000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=b1f7aa5368dbe155&fccid=90ebe7f108f6d6a4&vjs=3,INTELETECH GLOBAL INC,"Altamonte Springs, FL 32714","Posted
Posted 1 day ago",55 - 65 an hour,inteletech global inc,114400.0,135200.0,altamonte springs,FL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Senior Staff Data Scientist,https://www.indeed.com/rc/clk?jk=f59f41b5f4ac2b82&fccid=9784ae78e9834539&vjs=3,Intuit,"San Diego, CA 92129 
(Torrey Highlands area)","Posted
Posted 1 day ago",159K - 201K,intuit,159000.0,201000.0,san diego,CA,san diego,65643.0,73350.0,81815.0,88919.0,95387.0,san diego,9.8,Yes
